name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_inc3_m5b/MIM/             ,99.4%,45.0%,40.7%,40.6%,33.1%,40.0%,32.5%,43.1%,39.3%,24.2%,18.7%,15.7%,17.5%,6.7%
adv_inc3_m5b/FDA/             ,81.8%,43.3%,36.5%,43.5%,30.6%,45.5%,35.2%,34.0%,31.9%,19.0%,12.6%,8.5%,11.8%,4.3%
adv_inc3_m5b/NRDM/            ,80.8%,37.9%,35.7%,30.3%,21.7%,39.8%,26.0%,24.8%,25.0%,19.1%,9.7%,10.9%,11.7%,5.5%
adv_inc3_m5b/FIA/             ,96.2%,72.1%,71.9%,63.8%,61.2%,68.0%,65.5%,64.2%,63.2%,48.8%,50.8%,40.0%,39.5%,24.8%
adv_inc3_m5b/NAA_P/           ,98.6%,86.4%,84.5%,76.5%,70.1%,79.2%,77.3%,76.4%,73.8%,62.7%,61.9%,48.4%,50.0%,29.9%
adv_inc3_m5b/LID_NM/          ,99.0%,87.9%,87.4%,79.0%,74.5%,81.3%,78.9%,78.4%,76.5%,64.1%,65.0%,47.5%,47.9%,25.9%

adv_inc3_m5b/LID_NM_GN2/      ,98.5%,86.6%,86.2%,76.8%,72.8%,81.4%,76.9%,78.8%,77.6%,62.9%,63.0%,46.6%,46.0%,24.9%
adv_inc3_m5b/FIA_PIDIM/       ,95.5%,80.1%,79.5%,74.7%,72.3%,76.6%,74.0%,77.3%,77.0%,56.4%,58.3%,46.2%,46.2%,28.5%
adv_inc3_m5b/LID_NM_DIM/      ,98.1%,86.2%,84.8%,78.7%,74.5%,81.7%,76.6%,78.7%,78.5%,59.2%,55.0%,34.3%,35.3%,16.9%
adv_inc3_m5b/LID_DIM_PIM/     ,97.9%,87.5%,86.5%,82.4%,77.7%,84.3%,78.9%,82.7%,83.6%,59.5%,55.8%,37.9%,36.5%,20.4%
adv_inc3_m5b/LID_NM/          ,99.2%,87.3%,86.1%,77.6%,72.5%,81.7%,76.5%,78.1%,77.5%,59.7%,57.0%,35.9%,36.9%,18.0%
adv_inc3_m5b/LID_NM/          ,98.4%,86.9%,85.8%,78.8%,71.7%,81.1%,77.8%,78.4%,76.4%,63.4%,62.2%,45.1%,46.3%,24.2%
