name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_incres2_c4a/MIM/          ,61.8%,53.4%,98.5%,47.0%,40.2%,49.4%,42.5%,47.3%,44.1%,25.5%,29.4%,21.8%,21.1%,10.8%
adv_incres2_c4a/FDA/          ,69.3%,67.2%,78.7%,61.8%,51.1%,73.3%,55.9%,49.2%,44.8%,34.3%,29.5%,16.8%,15.7%,8.3%
adv_incres2_c4a/NRDM/         ,57.1%,49.3%,71.7%,47.9%,35.8%,55.7%,40.5%,37.0%,37.3%,23.2%,13.4%,9.8%,12.4%,4.9%
adv_incres2_c4a/FIA/          ,60.4%,55.6%,70.2%,53.0%,48.3%,54.5%,50.9%,54.9%,52.3%,38.5%,41.3%,37.6%,35.3%,28.2%
adv_incres2_c4a/NAA_P/        ,84.0%,80.4%,94.3%,75.3%,72.7%,78.8%,75.8%,75.9%,74.4%,66.1%,69.3%,59.2%,54.1%,46.6%
adv_incres2_c4a/LID_NM/       ,85.3%,80.8%,95.3%,77.3%,74.3%,79.4%,78.2%,77.2%,75.1%,69.9%,71.5%,60.6%,57.6%,47.6%

adv_incres2_c4a/LID_NM_GN3/   ,84.2%,80.6%,94.8%,76.3%,71.3%,77.7%,75.2%,75.8%,75.3%,67.7%,67.7%,55.9%,50.5%,38.6%
adv_incres2_c4a/FIA_PIDIM/    ,65.8%,61.1%,71.7%,64.0%,60.7%,62.3%,58.3%,64.4%,65.3%,45.0%,49.1%,43.2%,40.7%,33.2%
adv_incres2_c4a/LID_DIM_PIM/  ,84.6%,79.6%,92.4%,79.9%,76.6%,78.1%,74.9%,79.5%,80.1%,67.0%,64.8%,51.5%,46.2%,33.6%
adv_incres2_c4a/LID_NM/       ,82.7%,78.0%,92.5%,73.9%,72.4%,75.8%,73.9%,74.3%,74.0%,65.5%,66.1%,55.1%,52.7%,41.4%
adv_incres2_c4a/LID_NM/       ,84.4%,79.4%,95.2%,75.5%,71.7%,78.2%,75.8%,76.0%,75.8%,68.7%,67.6%,54.9%,51.5%,37.3%
adv_incres2_c4a/LID_NM/       ,81.8%,77.5%,92.4%,73.9%,70.6%,76.6%,73.7%,73.2%,73.5%,66.1%,66.3%,55.9%,52.0%,42.5%
