name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_res1152_b2u8/MIM/         ,67.9%,59.1%,56.9%,94.1%,100.0%,74.4%,70.9%,80.1%,79.4%,53.6%,47.4%,48.1%,50.5%,37.6%
adv_res1152_b2u8/FDA/         ,73.5%,62.1%,58.2%,88.3%,95.8%,77.2%,67.5%,79.0%,78.6%,61.2%,42.6%,50.3%,50.1%,36.0%
adv_res1152_b2u8/NRDM/        ,74.4%,70.0%,59.0%,89.7%,96.7%,80.2%,69.3%,80.2%,80.9%,61.5%,46.2%,51.6%,49.9%,40.3%
adv_res1152_b2u8/FIA/         ,84.1%,79.0%,77.4%,94.9%,99.6%,87.3%,85.0%,87.8%,86.8%,76.3%,71.5%,72.7%,72.1%,62.9%
adv_res1152_b2u8/NAA_P/       ,83.5%,79.9%,79.0%,94.5%,98.8%,86.8%,85.4%,87.3%,84.8%,76.9%,70.8%,74.6%,72.6%,62.2%
adv_res1152_b2u8/LID_NM/      ,92.6%,89.4%,90.1%,97.9%,99.5%,94.8%,93.6%,93.3%,93.1%,86.8%,82.2%,83.2%,82.5%,71.2%

adv_res1152_b2u8/FIA_PIDIM/   ,84.0%,78.4%,79.7%,95.1%,98.9%,87.1%,84.3%,89.7%,89.1%,77.2%,75.0%,74.1%,73.6%,62.6%
adv_res1152_b2u8/LID_DIM_PIM/ ,82.7%,74.6%,74.6%,94.4%,97.2%,84.3%,80.8%,90.3%,88.7%,71.6%,66.9%,65.8%,66.0%,51.0%
adv_res1152_b2u8/LID_NM/      ,90.3%,87.7%,86.8%,96.7%,97.9%,92.2%,90.8%,91.5%,92.1%,84.8%,80.8%,81.9%,80.1%,74.8%
adv_res1152_b2u8/LID_NM/      ,92.2%,88.8%,87.6%,97.6%,97.7%,93.5%,92.3%,93.3%,92.7%,86.9%,79.7%,80.9%,79.9%,67.6%
adv_res1152_b2u8/LID_NM/      ,91.8%,88.2%,89.2%,97.5%,97.4%,93.8%,92.6%,93.1%,93.2%,85.3%,81.9%,82.3%,81.1%,73.5%
