name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_vgg_c3/MIM/               ,88.9%,88.9%,82.5%,92.5%,87.7%,88.7%,84.5%,99.8%,99.6%,82.4%,73.1%,80.7%,77.9%,66.8%
adv_vgg_c3/FDA/               ,81.1%,82.0%,68.7%,80.4%,78.3%,76.4%,69.1%,94.9%,95.0%,72.7%,60.8%,66.7%,68.7%,57.1%
adv_vgg_c3/NRDM/              ,81.2%,77.5%,61.2%,79.3%,74.5%,75.8%,66.6%,93.4%,91.7%,69.6%,60.5%,67.6%,69.0%,55.4%
adv_vgg_c3/FIA/               ,95.0%,95.2%,92.0%,96.4%,93.8%,94.3%,92.6%,100.0%,99.6%,91.8%,87.6%,90.0%,89.7%,84.8%
adv_vgg_c3/NAA_P/             ,94.7%,93.1%,91.0%,95.1%,93.8%,93.2%,91.8%,98.4%,98.3%,91.8%,88.8%,91.2%,90.3%,82.6%
adv_vgg_c3/LID_NM/            ,97.1%,98.0%,95.6%,97.7%,96.7%,96.5%,95.8%,99.2%,99.1%,95.0%,92.6%,93.6%,93.8%,89.4%

adv_vgg_c3/NAA/               ,94.9%,94.4%,90.3%,95.3%,93.1%,94.3%,92.9%,99.8%,99.3%,91.0%,86.3%,90.2%,89.2%,82.2%
adv_vgg_c3/FIA_PIDIM/         ,95.0%,94.5%,90.8%,96.3%,94.7%,94.7%,93.6%,100.0%,99.3%,93.4%,89.2%,91.1%,91.2%,83.4%
adv_vgg_c3/LID_NM_DIM/        ,92.2%,91.5%,86.4%,93.2%,90.6%,90.2%,88.3%,96.7%,96.7%,86.6%,81.6%,84.3%,84.6%,73.6%
adv_vgg_c3/LID_DIM_PIM/       ,93.2%,92.7%,87.2%,94.0%,91.6%,93.0%,89.9%,97.5%,97.1%,87.4%,81.6%,86.5%,86.3%,75.9%
adv_vgg_c3/LID_NM/            ,96.9%,96.6%,95.6%,97.7%,95.8%,96.9%,95.4%,95.7%,97.7%,94.4%,93.1%,93.5%,93.4%,90.0%
adv_vgg_c3/LID_NM/            ,96.8%,96.6%,95.6%,97.5%,96.0%,96.7%,95.1%,95.5%,97.8%,94.7%,92.8%,92.8%,93.3%,89.9%
adv_vgg_c3/LID_NM/            ,97.3%,96.6%,95.1%,97.6%,95.8%,96.4%,95.3%,95.4%,97.8%,94.8%,93.3%,93.2%,93.8%,89.5%
adv_vgg_c3/LID_NM/            ,97.9%,97.4%,95.7%,97.8%,96.3%,96.7%,95.3%,96.0%,98.1%,95.7%,92.1%,94.1%,94.0%,88.3%
adv_vgg_c3/LID_NM/            ,97.5%,97.8%,95.9%,97.6%,96.4%,97.3%,95.6%,95.6%,97.9%,95.1%,93.0%,94.1%,93.9%,91.2%
adv_vgg_c3/LID_NM/            ,97.5%,97.2%,95.3%,97.5%,96.2%,97.0%,96.0%,95.9%,98.1%,94.8%,93.2%,94.3%,93.8%,91.1%

adv_vgg_c3/LID_NM_NoSIG/      ,97.8%,98.3%,96.6%,98.3%,97.0%,97.5%,96.4%,99.9%,99.6%,95.8%,93.6%,95.2%,94.3%,91.7%
adv_vgg_c3/LID_NM_NoIG/       ,94.0%,94.8%,92.0%,96.0%,93.3%,95.0%,92.8%,95.9%,97.9%,90.9%,87.8%,89.8%,90.0%,83.4%
adv_vgg_c3/LID_NM_NoNoise/    ,95.9%,96.0%,93.2%,95.9%,94.3%,95.0%,93.5%,95.5%,97.4%,92.3%,90.0%,90.5%,90.9%,84.9%
adv_vgg_c3/LID_NM_SG/         ,97.2%,97.0%,95.4%,97.0%,96.0%,96.2%,95.6%,93.9%,97.2%,94.2%,92.6%,93.7%,94.1%,90.5%
adv_vgg_c3/LID_NM_AG/         ,97.1%,97.6%,95.5%,97.7%,96.8%,96.9%,95.3%,99.1%,99.2%,94.9%,92.7%,94.3%,93.5%,89.8%
adv_vgg_c3/LID_NM_SG/         ,96.2%,96.0%,94.8%,96.6%,95.3%,96.0%,94.1%,97.8%,98.0%,93.0%,89.9%,92.4%,92.3%,86.3%
adv_vgg_c3/LID_NM_Z/          ,97.7%,98.2%,95.9%,98.1%,97.3%,97.7%,96.3%,99.9%,99.5%,96.2%,93.0%,94.7%,94.3%,92.0%
adv_vgg_c3/LID_NM_NoNoise/    ,95.9%,96.0%,94.2%,96.1%,94.4%,95.3%,93.5%,99.5%,99.1%,93.3%,91.5%,92.0%,91.6%,87.2%
adv_vgg_c3/LID_NM_NoIG/       ,94.1%,93.9%,90.8%,94.1%,91.8%,93.0%,90.8%,97.2%,97.2%,90.4%,85.4%,87.6%,88.5%,80.4%
adv_vgg_c3/LID_NM_Square/     ,95.5%,95.6%,92.6%,95.4%,93.6%,95.4%,92.6%,98.9%,98.8%,92.1%,88.4%,90.1%,90.1%,83.9%
